Year,Month,Day,Hour,Minute,Temperature,GHI
2016,1,1,0,0,16,0
2016,1,1,1,0,16.7,0
2016,1,1,2,0,19.5,135
2016,1,1,3,0,22.6,369
2016,1,1,4,0,24.8,589
2016,1,1,5,0,26.7,761
2016,1,1,6,0,28.1,870
2016,1,1,7,0,29.1,834
2016,1,1,8,0,29.5,667
2016,1,1,9,0,29.4,680
2016,1,1,10,0,28.7,544
2016,1,1,11,0,27.1,318
2016,1,1,12,0,23.6,91
2016,1,1,13,0,22.2,0
2016,1,1,14,0,21.5,0
2016,1,1,15,0,20.6,0
2016,1,1,16,0,19.8,0
2016,1,1,17,0,19,0
2016,1,1,18,0,18.2,0
2016,1,1,19,0,17.5,0
2016,1,1,20,0,17,0
2016,1,1,21,0,16.5,0
2016,1,1,22,0,16.1,0
2016,1,1,23,0,15.8,0
2016,1,2,0,0,15.6,0
2016,1,2,1,0,16.4,0
2016,1,2,2,0,19.2,131
2016,1,2,3,0,22.9,366
2016,1,2,4,0,25.4,556
2016,1,2,5,0,27.3,760
2016,1,2,6,0,28.7,860
2016,1,2,7,0,29.7,822
2016,1,2,8,0,30.1,849
2016,1,2,9,0,30,711
2016,1,2,10,0,29.3,546
2016,1,2,11,0,27.4,320
2016,1,2,12,0,23.1,93
2016,1,2,13,0,21.3,0
2016,1,2,14,0,20.5,0
2016,1,2,15,0,19.6,0
2016,1,2,16,0,18.8,0
2016,1,2,17,0,18,0
2016,1,2,18,0,17.4,0
2016,1,2,19,0,16.8,0
2016,1,2,20,0,16.4,0
2016,1,2,21,0,16.1,0
2016,1,2,22,0,15.9,0
2016,1,2,23,0,15.5,0
2016,1,3,0,0,15.2,0
2016,1,3,1,0,15.7,0
2016,1,3,2,0,18.5,135
2016,1,3,3,0,22.4,376
2016,1,3,4,0,25.4,601
2016,1,3,5,0,27.6,778
2016,1,3,6,0,29.2,889
2016,1,3,7,0,30.3,923
2016,1,3,8,0,30.8,873
2016,1,3,9,0,30.7,753
2016,1,3,10,0,29.9,570
2016,1,3,11,0,27.8,339
2016,1,3,12,0,23.1,103
2016,1,3,13,0,21.4,0
2016,1,3,14,0,20.6,0
2016,1,3,15,0,19.8,0
2016,1,3,16,0,18.8,0
2016,1,3,17,0,17.9,0
2016,1,3,18,0,17.2,0
2016,1,3,19,0,16.7,0
2016,1,3,20,0,16.2,0
2016,1,3,21,0,16.1,0
2016,1,3,22,0,16,0
2016,1,3,23,0,15.8,0
2016,1,4,0,0,15.5,0
2016,1,4,1,0,16,0
2016,1,4,2,0,18.9,129
